 
HCPC	Seq Num	RIC	Long Description	Short Description	PI1	PI2	PI3	PI4	MPI	CIM1	CIM2	CIM3	MCM1	MCM2	MCM3	Statute	Lab Cert1	Lab Cert2	Lab Cert3	Lab Cert4	Lab Cert5	Lab Cert6	Lab Cert7	Lab Cert8	X-Ref1	X-Ref2	X-Ref3	X-Ref4	X-Ref5	Coverage	ASC Pay Grp	ASC Pay Grp Eff Date	MOG Pay Grp	MOG Pay Ind	MOG Eff Date	Proc Note	BETOS	FILLER	TOS1	TOS2	TOS3	TOS4	TOS5	Anest Base Units	Code Add Date	Action Eff Date	Term Date	Action Code	   
A6244	00100	3	HYDROGEL DRESSING, WOUND COVER, STERILE, PAD SIZE MORE THAN 48 SQ. IN., WITHOUT	Hydrogel drg >48 in w/o bdr	35				A				2079																	D							D1A		S					  0	19970101	20090101		N	   
A6244	00200	4	ADHESIVE BORDER, EACH DRESSING																																														   
A6245	00100	3	HYDROGEL DRESSING, WOUND COVER, STERILE, PAD SIZE 16 SQ. IN. OR LESS, WITH ANY	Hydrogel drg <= 16 in w/bdr	35				A				2079																	D							D1A		S					  0	19970101	20090101		N	   
A6245	00200	4	SIZE ADHESIVE BORDER, EACH DRESSING																																														   
A6246	00100	3	HYDROGEL DRESSING, WOUND COVER, STERILE, PAD SIZE MORE THAN 16 SQ. IN. BUT LESS	Hydrogel drg >16<=48 in w/b	35				A				2079																	D							D1A		S					  0	19970101	20090101		N	   
A6246	00200	4	THAN OR EQUAL TO 48 SQ. IN., WITH ANY SIZE ADHESIVE BORDER, EACH DRESSING																																														   
A6247	00100	3	HYDROGEL DRESSING, WOUND COVER, STERILE, PAD SIZE MORE THAN 48 SQ. IN., WITH	Hydrogel drg > 48 sq in w/b	35				A				2079																	D							D1A		S					  0	19970101	20090101		N	   
A6247	00200	4	ANY SIZE ADHESIVE BORDER, EACH DRESSING																																														   
A6248	00100	3	HYDROGEL DRESSING, WOUND FILLER, GEL, PER FLUID OUNCE	Hydrogel drsg gel filler	35				A				2079																	D							D1A		S					  0	19970101	20110101		C	   
A6250	00100	3	SKIN SEALANTS, PROTECTANTS, MOISTURIZERS, OINTMENTS, ANY TYPE, ANY SIZE	Skin seal protect moisturizr	00				9				2079																	D							D1A		L	S				  0	19970101	20030101		N	   
A6251	00100	3	SPECIALTY ABSORPTIVE DRESSING, WOUND COVER, STERILE, PAD SIZE 16 SQ. IN. OR	Absorpt drg <=16 sq in w/o b	35				A				2079																	D							D1A		S					  0	19970101	20090101		N	   
A6251	00200	4	LESS, WITHOUT ADHESIVE BORDER, EACH DRESSING																																														   
A6252	00100	3	SPECIALTY ABSORPTIVE DRESSING, WOUND COVER, STERILE, PAD SIZE MORE THAN 16 SQ.	Absorpt drg >16 <=48 w/o bdr	35				A				2079																	D							D1A		S					  0	19970101	20090101		N	   
A6252	00200	4	IN. BUT LESS THAN OR EQUAL TO 48 SQ. IN., WITHOUT ADHESIVE BORDER, EACH DRESSING																																														   
A6253	00100	3	SPECIALTY ABSORPTIVE DRESSING, WOUND COVER, STERILE, PAD SIZE MORE THAN 48 SQ.	Absorpt drg > 48 sq in w/o b	35				A				2079																	D							D1A		S					  0	19970101	20090101		N	   
A6253	00200	4	IN., WITHOUT ADHESIVE BORDER, EACH DRESSING																																														   
A6254	00100	3	SPECIALTY ABSORPTIVE DRESSING, WOUND COVER, STERILE, PAD SIZE 16 SQ. IN. OR	Absorpt drg <=16 sq in w/bdr	35				A				2079																	D							D1A		S					  0	19970101	20090101		N	   
A6254	00200	4	LESS, WITH ANY SIZE ADHESIVE BORDER, EACH DRESSING																																														   
A6255	00100	3	SPECIALTY ABSORPTIVE DRESSING, WOUND COVER, STERILE, PAD SIZE MORE THAN 16 SQ.	Absorpt drg >16<=48 in w/bdr	35				A				2079																	D							D1A		S					  0	19970101	20090101		N	   
A6255	00200	4	IN. BUT LESS THAN OR EQUAL TO 48 SQ. IN., WITH ANY SIZE ADHESIVE BORDER, EACH																																														   
A6255	00300	4	DRESSING																																														   
A6256	00100	3	SPECIALTY ABSORPTIVE DRESSING, WOUND COVER, STERILE, PAD SIZE MORE THAN 48 SQ.	Absorpt drg > 48 sq in w/bdr	46				A				2079																	D							D1A		S					  0	19970101	20090101		N	   
A6256	00200	4	IN., WITH ANY SIZE ADHESIVE BORDER, EACH DRESSING																																														   
A6257	00100	3	TRANSPARENT FILM, STERILE, 16 SQ. IN. OR LESS, EACH DRESSING	Transparent film <= 16 sq in	35				A				2079																	D							D1A		S					  0	19970101	20090101		N	   
A6258	00100	3	TRANSPARENT FILM, STERILE, MORE THAN 16 SQ. IN. BUT LESS THAN OR EQUAL TO 48	Transparent film >16<=48 in	35				A				2079																	D							D1A		S					  0	19970101	20090101		N	   
A6258	00200	4	SQ. IN., EACH DRESSING																																														   
A6259	00100	3	TRANSPARENT FILM, STERILE, MORE THAN 48 SQ. IN., EACH DRESSING	Transparent film > 48 sq in	35				A				2079																	D							D1A		S					  0	19970101	20090101		N	   
A6260	00100	3	WOUND CLEANSERS, ANY TYPE, ANY SIZE	Wound cleanser any type/size	00				9				2079																	D							D1A		L	S				  0	19970101	20110101		C	   
A6261	00100	3	WOUND FILLER,  GEL/PASTE, PER FLUID OUNCE, NOT OTHERWISE SPECIFIED	Wound filler gel/paste /oz	46				A				2079																	D							D1A		S					  0	19970101	20110101		C	   
A6262	00100	3	WOUND FILLER, DRY FORM, PER GRAM,  NOT OTHERWISE SPECIFIED	Wound filler dry form / gram	46				A				2079																	D							D1A		S					  0	19970101	20110101		C	   
A6266	00100	3	GAUZE, IMPREGNATED, OTHER THAN WATER, NORMAL SALINE, OR ZINC PASTE, STERILE,	Impreg gauze no h20/sal/yard	35				A				2079																	D							D1A		S					  0	19970101	20090101		N	   
A6266	00200	4	ANY WIDTH, PER LINEAR YARD																																														   
A6402	00100	3	GAUZE, NON-IMPREGNATED, STERILE, PAD SIZE 16 SQ. IN. OR LESS, WITHOUT ADHESIVE	Sterile gauze <= 16 sq in	35				A				2079																	D							D1A		L	S				  0	19970101	20060101		N	   
A6402	00200	4	BORDER, EACH DRESSING																																														   
A6403	00100	3	GAUZE, NON-IMPREGNATED, STERILE, PAD SIZE MORE THAN 16 SQ. IN. LESS THAN OR	Sterile gauze>16 <= 48 sq in	35				A				2079																	D							D1A		S					  0	19970101	20030101		N	   
A6403	00200	4	EQUAL TO 48 SQ. IN., WITHOUT ADHESIVE BORDER, EACH DRESSING																																														   
A6404	00100	3	GAUZE, NON-IMPREGNATED, STERILE, PAD SIZE MORE THAN 48 SQ. IN., WITHOUT	Sterile gauze > 48 sq in	35				A				2079																	D							D1A		S					  0	19970101	20030101		N	   
A6404	00200	4	ADHESIVE BORDER, EACH DRESSING																																														   
A6407	00100	3	PACKING STRIPS, NON-IMPREGNATED, STERILE, UP TO 2 INCHES IN WIDTH, PER LINEAR	Packing strips, non-impreg	35				A																					C							D1A		S					  0	20040101	20090101		N	   
A6407	00200	4	YARD																																														   
A6410	00100	3	EYE PAD, STERILE, EACH	Sterile eye pad	35				A				2079																	D							D1A		S					  0	20030101	20030101		N	   
A6411	00100	3	EYE PAD, NON-STERILE, EACH	Non-sterile eye pad	35				A				2079																	D							D1A		S					  0	20030101	20030101		N	   
A6412	00100	3	EYE PATCH, OCCLUSIVE, EACH	Occlusive eye patch	00				9																					C							Z2		S					  0	20030101	20070101		N	   
A6413	00100	3	ADHESIVE BANDAGE, FIRST-AID TYPE, ANY SIZE, EACH	Adhesive bandage, first-aid	00				9							1861(s)(5)														S							D1A		P					  0	20080101	20080101		N	   
A6441	00100	3	PADDING BANDAGE, NON-ELASTIC, NON-WOVEN/NON-KNITTED, WIDTH GREATER THAN OR	Pad band w>=3" <5"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6441	00200	4	EQUAL TO THREE INCHES AND LESS THAN FIVE INCHES, PER YARD																																														   
A6442	00100	3	CONFORMING BANDAGE, NON-ELASTIC, KNITTED/WOVEN, NON-STERILE, WIDTH LESS THAN	Conform band n/s w<3"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6442	00200	4	THREE INCHES, PER YARD																																														   
A6443	00100	3	CONFORMING BANDAGE, NON-ELASTIC, KNITTED/WOVEN, NON-STERILE, WIDTH GREATER THAN	Conform band n/s w>=3"<5"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6443	00200	4	OR EQUAL TO THREE INCHES AND LESS THAN FIVE INCHES, PER YARD																																														   
A6444	00100	3	CONFORMING BANDAGE, NON-ELASTIC, KNITTED/WOVEN, NON-STERILE, WIDTH GREATER THAN	Conform band n/s w>=5"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6444	00200	4	OR EQUAL TO 5 INCHES, PER YARD																																														   
A6445	00100	3	CONFORMING BANDAGE, NON-ELASTIC, KNITTED/WOVEN, STERILE, WIDTH LESS THAN THREE	Conform band s w <3"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6445	00200	4	INCHES, PER YARD																																														   
A6446	00100	3	CONFORMING BANDAGE, NON-ELASTIC, KNITTED/WOVEN, STERILE, WIDTH GREATER THAN OR	Conform band s w>=3" <5"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6446	00200	4	EQUAL TO THREE INCHES AND LESS THAN FIVE INCHES, PER YARD																																														   
A6447	00100	3	CONFORMING BANDAGE, NON-ELASTIC, KNITTED/WOVEN, STERILE, WIDTH GREATER THAN OR	Conform band s w >=5"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6447	00200	4	EQUAL TO FIVE INCHES, PER YARD																																														   
A6448	00100	3	LIGHT COMPRESSION BANDAGE, ELASTIC, KNITTED/WOVEN, WIDTH LESS THAN THREE	Lt compres band <3"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6448	00200	4	INCHES, PER YARD																																														   
A6449	00100	3	LIGHT COMPRESSION BANDAGE, ELASTIC, KNITTED/WOVEN, WIDTH GREATER THAN OR EQUAL	Lt compres band >=3" <5"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6449	00200	4	TO THREE INCHES AND LESS THAN FIVE INCHES, PER YARD																																														   
A6450	00100	3	LIGHT COMPRESSION BANDAGE, ELASTIC, KNITTED/WOVEN, WIDTH GREATER THAN OR EQUAL	Lt compres band >=5"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6450	00200	4	TO FIVE INCHES, PER YARD																																														   
A6451	00100	3	MODERATE COMPRESSION BANDAGE, ELASTIC, KNITTED/WOVEN, LOAD RESISTANCE OF 1.25	Mod compres band w>=3"<5"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6451	00200	4	TO 1.34 FOOT POUNDS AT 50% MAXIMUM STRETCH, WIDTH GREATER THAN OR EQUAL TO																																														   
A6451	00300	4	THREE INCHES AND LESS THAN FIVE INCHES, PER YARD																																														   
A6452	00100	3	HIGH COMPRESSION BANDAGE, ELASTIC, KNITTED/WOVEN, LOAD RESISTANCE GREATER THAN	High compres band w>=3"<5"yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6452	00200	4	OR EQUAL TO 1.35 FOOT POUNDS AT 50% MAXIMUM STRETCH, WIDTH GREATER THAN OR																																														   
A6452	00300	4	EQUAL TO THREE INCHES AND LESS THAN FIVE INCHES, PER YARD																																														   
A6453	00100	3	SELF-ADHERENT BANDAGE, ELASTIC, NON-KNITTED/NON-WOVEN, WIDTH LESS THAN THREE	Self-adher band w <3"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6453	00200	4	INCHES, PER YARD																																														   
A6454	00100	3	SELF-ADHERENT BANDAGE, ELASTIC, NON-KNITTED/NON-WOVEN, WIDTH GREATER THAN OR	Self-adher band w>=3" <5"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6454	00200	4	EQUAL TO THREE INCHES AND LESS THAN FIVE INCHES, PER YARD																																														   
A6455	00100	3	SELF-ADHERENT BANDAGE, ELASTIC, NON-KNITTED/NON-WOVEN, WIDTH GREATER THAN OR	Self-adher band >=5"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6455	00200	4	EQUAL TO FIVE INCHES, PER YARD																																														   
A6456	00100	3	ZINC PASTE IMPREGNATED BANDAGE, NON-ELASTIC, KNITTED/WOVEN, WIDTH GREATER THAN	Zinc paste band w >=3"<5"/yd	35				A																					C							D1A		S					  0	20040101	20040101		N	   
A6456	00200	4	OR EQUAL TO THREE INCHES AND LESS THAN FIVE INCHES, PER YARD																																														   
A6457	00100	3	TUBULAR DRESSING WITH OR WITHOUT ELASTIC, ANY WIDTH, PER LINEAR YARD	Tubular dressing	35				A																					C							D1A		S					  0	20060101	20060101		N	   
A6501	00100	3	COMPRESSION BURN GARMENT, BODYSUIT (HEAD TO FOOT), CUSTOM FABRICATED	Compres burngarment bodysuit	35				A				2079																	D							D1A		S					  0	20030101	20030101		N	   
A6502	00100	3	COMPRESSION BURN GARMENT, CHIN STRAP, CUSTOM FABRICATED	Compres burngarment chinstrp	35				A				2079																	D							D1A		S					  0	20030101	20030101		N	   
A6503	00100	3	COMPRESSION BURN GARMENT, FACIAL HOOD, CUSTOM FABRICATED	Compres burngarment facehood	35				A				2079																	D							D1A		S					  0	20030101	20030101		N	   
A6504	00100	3	COMPRESSION BURN GARMENT, GLOVE TO WRIST, CUSTOM FABRICATED	Cmprsburngarment glove-wrist	35				A				2079																	D							D1A		S					  0	20030101	20030101		N	   
A6505	00100	3	COMPRESSION BURN GARMENT, GLOVE TO ELBOW, CUSTOM FABRICATED	Cmprsburngarment glove-elbow	35				A				2079																	D							D1A		S					  0	20030101	20030101		N	   
A6506	00100	3	COMPRESSION BURN GARMENT, GLOVE TO AXILLA, CUSTOM FABRICATED	Cmprsburngrmnt glove-axilla	35				A				2079																	D							D1A		S					  0	20030101	20030101		N	   
A6507	00100	3	COMPRESSION BURN GARMENT, FOOT TO KNEE LENGTH, CUSTOM FABRICATED	Cmprs burngarment foot-knee	35				A				2079																	D							D1A		S					  0	20030101	20030101		N	   
A6508	00100	3	COMPRESSION BURN GARMENT, FOOT TO THIGH LENGTH, CUSTOM FABRICATED	Cmprs burngarment foot-thigh	35				A				2079																	D							D1A		S					  0	20030101	20030101		N	   
A6509	00100	3	COMPRESSION BURN GARMENT, UPPER TRUNK TO WAIST INCLUDING ARM OPENINGS (VEST),	Compres burn garment jacket	35				A				2079																	D							D1A		S					  0	20030101	20030101		N	   
A6509	00200	4	CUSTOM FABRICATED																																														   
A6510	00100	3	COMPRESSION BURN GARMENT, TRUNK, INCLUDING ARMS DOWN TO LEG OPENINGS (LEOTARD),	Compres burn garment leotard	35				A				2079																	D							D1A		S					  0	20030101	20030101		N	   
A6510	00200	4	CUSTOM FABRICATED																																														   
A6511	00100	3	COMPRESSION BURN GARMENT, LOWER TRUNK INCLUDING LEG OPENINGS (PANTY), CUSTOM	Compres burn garment panty	35				A				2079																	D							D1A		S					  0	20030101	20030101		N	   
A6511	00200	4	FABRICATED																																														   
A6512	00100	3	COMPRESSION BURN GARMENT, NOT OTHERWISE CLASSIFIED	Compres burn garment, noc	35				A				2079																	D							D1A		S					  0	20030101	20030101		N	   
A6513	00100	3	COMPRESSION BURN MASK, FACE AND/OR NECK, PLASTIC OR EQUAL, CUSTOM FABRICATED	Compress burn mask face/neck	00				9																					C							D1A		P					  0	20060101	20060101		N	   
A6530	00100	3	GRADIENT COMPRESSION STOCKING, BELOW KNEE, 18-30 MMHG, EACH	Compression stocking BK18-30	00				9	60-9																				M						0072	D1A		P					  0	20060101	20110101		T	   
A6531	00100	3	GRADIENT COMPRESSION STOCKING, BELOW KNEE, 30-40 MMHG, EACH	Compression stocking BK30-40	35				A				2079																	D						0072	D1A		P	S				  0	20060101	20060101		N	   
A6532	00100	3	GRADIENT COMPRESSION STOCKING, BELOW KNEE, 40-50 MMHG, EACH	Compression stocking BK40-50	35				A				2079																	D						0072	D1A		P	S				  0	20060101	20060101		N	   
A6533	00100	3	GRADIENT COMPRESSION STOCKING, THIGH LENGTH, 18-30 MMHG, EACH	Gc stocking thighlngth 18-30	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T	   
A6534	00100	3	GRADIENT COMPRESSION STOCKING, THIGH LENGTH, 30-40 MMHG, EACH	Gc stocking thighlngth 30-40	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T	   
A6535	00100	3	GRADIENT COMPRESSION STOCKING, THIGH LENGTH, 40-50 MMHG, EACH	Gc stocking thighlngth 40-50	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T	   
A6536	00100	3	GRADIENT COMPRESSION STOCKING, FULL LENGTH/CHAP STYLE, 18-30 MMHG, EACH	Gc stocking full lngth 18-30	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T	   
A6537	00100	3	GRADIENT COMPRESSION STOCKING, FULL LENGTH/CHAP STYLE, 30-40 MMHG, EACH	Gc stocking full lngth 30-40	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T	   
A6538	00100	3	GRADIENT COMPRESSION STOCKING, FULL LENGTH/CHAP STYLE, 40-50 MMHG, EACH	Gc stocking full lngth 40-50	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T	   
A6539	00100	3	GRADIENT COMPRESSION STOCKING, WAIST LENGTH, 18-30 MMHG, EACH	Gc stocking waistlngth 18-30	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T	   
A6540	00100	3	GRADIENT COMPRESSION STOCKING, WAIST LENGTH, 30-40 MMHG, EACH	Gc stocking waistlngth 30-40	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T	   
A6541	00100	3	GRADIENT COMPRESSION STOCKING, WAIST LENGTH, 40-50 MMHG, EACH	Gc stocking waistlngth 40-50	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T	   
A6542	00100	3	GRADIENT COMPRESSION STOCKING, CUSTOM MADE	Gc stocking custom made	00				9	60-9			2133																	M						0072	D1F		P					  0	20060101	20100101	20091231	N	   
A6543	00100	3	GRADIENT COMPRESSION STOCKING, LYMPHEDEMA	Gc stocking lymphedema	00				9	60-9			2133																	M						0072	D1F		P					  0	20060101	20100101	20091231	N	   
A6544	00100	3	GRADIENT COMPRESSION STOCKING, GARTER BELT	Gc stocking garter belt	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T	   
A6545	00100	3	GRADIENT COMPRESSION WRAP, NON-ELASTIC, BELOW KNEE, 30-50 MM HG, EACH	Grad comp non-elastic BK	35				A				2079																	D							D1A		P	S				  0	20090101	20110101		T	   
A6549	00100	3	GRADIENT COMPRESSION STOCKING/SLEEVE, NOT OTHERWISE SPECIFIED	G compression stocking	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T	   
A6550	00100	3	WOUND CARE SET, FOR NEGATIVE PRESSURE WOUND THERAPY ELECTRICAL PUMP, INCLUDES	Neg pres wound ther drsg set	34				A																					C							D1E		P					  0	20040101	20060101		N	   
A6550	00200	4	ALL SUPPLIES AND ACCESSORIES																																														   
A7000	00100	3	CANISTER, DISPOSABLE, USED WITH SUCTION PUMP, EACH	Disposable canister for pump	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N	   
A7001	00100	3	CANISTER, NON-DISPOSABLE, USED WITH SUCTION PUMP, EACH	Nondisposable pump canister	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N	   
A7002	00100	3	TUBING, USED WITH SUCTION PUMP, EACH	Tubing used w suction pump	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N	   
A7003	00100	3	ADMINISTRATION SET, WITH SMALL VOLUME NONFILTERED PNEUMATIC NEBULIZER,	Nebulizer administration set	32				A																					C							D1E		P					  0	20000101	20000101		N	   
A7003	00200	4	DISPOSABLE																																														   
A7004	00100	3	SMALL VOLUME NONFILTERED PNEUMATIC NEBULIZER, DISPOSABLE	Disposable nebulizer sml vol	32				A																					C							D1E		P					  0	20000101	20000101		N	   
A7005	00100	3	ADMINISTRATION SET, WITH SMALL VOLUME NONFILTERED PNEUMATIC NEBULIZER,	Nondisposable nebulizer set	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N	   
A7005	00200	4	NON-DISPOSABLE																																														   
A7006	00100	3	ADMINISTRATION SET, WITH SMALL VOLUME FILTERED PNEUMATIC NEBULIZER	Filtered nebulizer admin set	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N	   
A7007	00100	3	LARGE VOLUME NEBULIZER, DISPOSABLE, UNFILLED, USED WITH AEROSOL COMPRESSOR	Lg vol nebulizer disposable	32				A																					C							D1E		P					  0	20000101	20000101		N	   
A7008	00100	3	LARGE VOLUME NEBULIZER, DISPOSABLE, PREFILLED, USED WITH AEROSOL COMPRESSOR	Disposable nebulizer prefill	32				A																					C							D1E		P					  0	20000101	20000101		N	   
A7009	00100	3	RESERVOIR BOTTLE, NON-DISPOSABLE, USED WITH LARGE VOLUME ULTRASONIC NEBULIZER	Nebulizer reservoir bottle	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N	   
A7010	00100	3	CORRUGATED TUBING, DISPOSABLE, USED WITH LARGE VOLUME NEBULIZER, 100 FEET	Disposable corrugated tubing	32				A																					C							D1E		P					  0	20000101	20000101		N	   
A7011	00100	3	CORRUGATED TUBING, NON-DISPOSABLE, USED WITH LARGE VOLUME NEBULIZER, 10 FEET	Nondispos corrugated tubing	46				A																					C							D1E		P					  0	20000101	20000101		N	   
A7012	00100	3	WATER COLLECTION DEVICE, USED WITH LARGE VOLUME NEBULIZER	Nebulizer water collec devic	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N	   
A7013	00100	3	FILTER, DISPOSABLE, USED WITH AEROSOL COMPRESSOR OR ULTRASONIC GENERATOR	Disposable compressor filter	32				A																					C							D1E		P					  0	20000101	20110101		C	   
A7014	00100	3	FILTER, NONDISPOSABLE, USED WITH AEROSOL COMPRESSOR OR ULTRASONIC GENERATOR	Compressor nondispos filter	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N	   
A7015	00100	3	AEROSOL MASK, USED WITH DME NEBULIZER	Aerosol mask used w nebulize	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N	   
A7016	00100	3	DOME AND MOUTHPIECE, USED WITH SMALL VOLUME ULTRASONIC NEBULIZER	Nebulizer dome & mouthpiece	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N	   
A7017	00100	3	NEBULIZER, DURABLE, GLASS OR AUTOCLAVABLE PLASTIC, BOTTLE TYPE, NOT USED WITH	Nebulizer not used w oxygen	32				A	60-9																				D							D1E		A	P	R			  0	20000101	20000101		N	   
A7017	00200	4	OXYGEN																																														   
A7018	00100	3	WATER, DISTILLED, USED WITH LARGE VOLUME NEBULIZER, 1000 ML	Water distilled w/nebulizer	32				A																					C							D1E		P					  0	20010101	20010101		N	   
A7020	00100	3	INTERFACE FOR COUGH STIMULATING DEVICE, INCLUDES ALL COMPONENTS, REPLACEMENT	Interface, cough stim device	32				A																					C							D1E		R					  0	20110101	20110101		A	   
A7020	00200	4	ONLY																																														   
A7025	00100	3	HIGH FREQUENCY CHEST WALL OSCILLATION SYSTEM VEST, REPLACEMENT FOR USE WITH	Replace chest compress vest	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N	   
A7025	00200	4	PATIENT OWNED EQUIPMENT, EACH																																														   
A7026	00100	3	HIGH FREQUENCY CHEST WALL OSCILLATION SYSTEM HOSE, REPLACEMENT FOR USE WITH	Replace chst cmprss sys hose	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N	   
A7026	00200	4	PATIENT OWNED EQUIPMENT, EACH																																														   
A7027	00100	3	COMBINATION ORAL/NASAL MASK, USED WITH CONTINUOUS POSITIVE AIRWAY PRESSURE	Combination oral/nasal mask	32				A																					C							D1E		A	P	R			  0	20080101	20080101		N	   
A7027	00200	4	DEVICE, EACH																																														   
A7028	00100	3	ORAL CUSHION FOR COMBINATION ORAL/NASAL MASK, REPLACEMENT ONLY, EACH	Repl oral cushion combo mask	32				A																					C							D1E		A	P	R			  0	20080101	20080101		N	   
A7029	00100	3	NASAL PILLOWS FOR COMBINATION ORAL/NASAL MASK, REPLACEMENT ONLY, PAIR	Repl nasal pillow comb mask	32				A																					C							D1E		A	P	R			  0	20080101	20080101		N	   
A7030	00100	3	FULL FACE MASK USED WITH POSITIVE AIRWAY PRESSURE DEVICE, EACH	CPAP full face mask	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N	   
A7031	00100	3	FACE MASK INTERFACE, REPLACEMENT FOR FULL FACE MASK, EACH	Replacement facemask interfa	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N	   
A7032	00100	3	CUSHION FOR USE ON NASAL MASK INTERFACE, REPLACEMENT ONLY, EACH	Replacement nasal cushion	32				A																					C							D1E		A	P	R			  0	20030101	20060101		N	   
A7033	00100	3	PILLOW FOR USE ON NASAL CANNULA TYPE INTERFACE, REPLACEMENT ONLY, PAIR	Replacement nasal pillows	32				A																					C							D1E		A	P	R			  0	20030101	20060101		N	   
A7034	00100	3	NASAL INTERFACE (MASK OR CANNULA TYPE) USED WITH POSITIVE AIRWAY PRESSURE	Nasal application device	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N	   
A7034	00200	4	DEVICE, WITH OR WITHOUT HEAD STRAP																																														   
A7035	00100	3	HEADGEAR USED WITH POSITIVE AIRWAY PRESSURE DEVICE	Pos airway press headgear	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N	   
A7036	00100	3	CHINSTRAP USED WITH POSITIVE AIRWAY PRESSURE DEVICE	Pos airway press chinstrap	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N	   
A7037	00100	3	TUBING USED WITH POSITIVE AIRWAY PRESSURE DEVICE	Pos airway pressure tubing	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N	   
A7038	00100	3	FILTER, DISPOSABLE, USED WITH POSITIVE AIRWAY PRESSURE DEVICE	Pos airway pressure filter	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N	   
A7039	00100	3	FILTER, NON DISPOSABLE, USED WITH POSITIVE AIRWAY PRESSURE DEVICE	Filter, non disposable w pap	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N	   
A7040	00100	3	ONE WAY CHEST DRAIN VALVE	One way chest drain valve	38				A																					C							D1F		P					  0	20050101	20050101		N	   
A7041	00100	3	WATER SEAL DRAINAGE CONTAINER AND TUBING FOR USE WITH IMPLANTED CHEST TUBE	Water seal drain container	38				A																					C							D1F		P					  0	20050101	20050101		N	   
A7042	00100	3	IMPLANTED PLEURAL CATHETER, EACH	Implanted pleural catheter	38				A																					C							D1F		P					  0	20030101	20030101		N	   
A7043	00100	3	VACUUM DRAINAGE BOTTLE AND TUBING FOR USE WITH IMPLANTED CATHETER	Vacuum drainagebottle/tubing	38				A																					C							D1F		P					  0	20030101	20030101		N	   
A7044	00100	3	ORAL INTERFACE USED WITH POSITIVE AIRWAY PRESSURE DEVICE, EACH	PAP oral interface	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N	   
A7045	00100	3	EXHALATION PORT WITH OR WITHOUT SWIVEL USED WITH ACCESSORIES FOR POSITIVE	Repl exhalation port for PAP	32				A	60-17																				D							D1E		A	P	R			  0	20050101	20050101		N	   
A7045	00200	4	AIRWAY DEVICES, REPLACEMENT ONLY																																														   
A7046	00100	3	WATER CHAMBER FOR HUMIDIFIER, USED WITH POSITIVE AIRWAY PRESSURE DEVICE,	Repl water chamber, PAP dev	32				A	60-17																				D							D1E		P					  0	20040101	20040101		N	   
A7046	00200	4	REPLACEMENT, EACH																																														   
